Grambank_ID	Feature	Chunking 2.0
GB070	Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?	argument marking (core)
GB408	Is there any accusative alignment of flagging?	argument marking (core)
GB409	Is there any ergative alignment of flagging?	argument marking (core)
GB410	Is there any neutral alignment of flagging?	argument marking (core)
GB089	Can the S argument be indexed by a suffix/enclitic on the verb in the simple main clause?	argument marking (core)
GB095	Are variations in marking strategies of core participants based on TAM distinctions?	argument marking (core)
GB096	Are variations in marking strategies of core participants based on verb classes?	argument marking (core)
GB098	Are variations in marking strategies of core participants based on person distinctions?	argument marking (core)
GB109	Is there verb suppletion for participant number?	argument marking (core)
GB090	Can the S argument be indexed by a prefix/proclitic on the verb in the simple main clause?	argument marking (core)
GB091	Can the A argument be indexed by a suffix/enclitic on the verb in the simple main clause?	argument marking (core)
GB092	Can the A argument be indexed by a prefix/proclitic on the verb in the simple main clause?	argument marking (core)
GB093	Can the P argument be indexed by a suffix/enclitic on the verb in the simple main clause?	argument marking (core)
GB094	Can the P argument be indexed by a prefix/proclitic on the verb in the simple main clause?	argument marking (core)
GB149	Is there a morphologically marked inverse on verbs?	argument marking (core)
GB151	"Is there an overt verb marker dedicated to signalling coreference or noncoreference between the subject of one clause and an argument of an adjacent clause (""switch reference"")?"	argument marking (core)
GB071	Are there morphological cases for pronominal core arguments (i.e. S/A/P)?	argument marking (core)
GB522	"Can the S or A argument be omitted from a pragmatically unmarked clause when the referent is inferrable from context (""pro-drop"" or ""null anaphora"")?"	argument marking (core)
GB177	Can the verb carry a marker of animacy of argument, unrelated to any gender/noun class of the argument visible in the NP domain?	argument marking (core)
GB099	Can verb stems alter according to the person of a core participant?	argument marking (core)
GB072	Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?	argument marking (non-core)
GB027	Are nominal conjunction and comitative expressed by different elements?	argument marking (non-core)
GB074	Are there prepositions?	argument marking (non-core)
GB075	Are there postpositions?	argument marking (non-core)
GB079	Do verbs have prefixes/proclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	argument marking (non-core)
GB080	Do verbs have suffixes/enclitics, other than those that only mark A, S or P (do include portmanteau: A & S + TAM)?	argument marking (non-core)
GB073	Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?	argument marking (non-core)
GB105	Can the recipient in a ditransitive construction be marked like the monotransitive patient?	argument marking (non-core)
GB108	Is there directional or locative morphological marking on verbs?	argument marking (non-core)
GB103	Is there a benefactive applicative marker on the verb (including indexing)?	argument marking (non-core)
GB104	Is there an instrumental applicative marker on the verb (including indexing)?	argument marking (non-core)
GB116	Do verbs classify the shape, size or consistency of absolutive arguments by means of incorporated nouns, verbal affixes or suppletive verb stems?	argument marking (non-core)
GB059	Is the adnominal possessive construction different for alienable and inalienable nouns?	class
GB058	Are there possessive classifiers?	class
GB321	Is there a large class of nouns whose gender/noun class is not phonologically or semantically predictable?	class
GB051	Is there a gender/noun class system where sex is a factor in class assignment?	class
GB052	Is there a gender/noun class system where shape is a factor in class assignment?	class
GB053	Is there a gender/noun class system where animacy is a factor in class assignment?	class
GB054	Is there a gender/noun class system where plant status is a factor in class assignment?	class
GB314	Can augmentative meaning be expressed productively by a shift of gender/noun class?	class
GB315	Can diminutive meaning be expressed productively by a shift of gender/noun class?	class
GB192	Is there a gender system where a noun's phonological properties are a factor in class assignment?	class
GB170	Can an adnominal property word agree with the noun in gender/noun class?	class
GB198	Can an adnominal numeral agree with the noun in gender/noun class?	class
GB171	Can an adnominal demonstrative agree with the noun in gender/noun class?	class
GB172	Can an article agree with the noun in gender/noun class?	class
GB030	Is there a gender distinction in independent 3rd person pronouns?	class
GB196	Is there a male/female distinction in 2nd person independent pronouns?	class
GB197	Is there a male/female distinction in 1st person independent pronouns?	class
GB130	What is the pragmatically unmarked order of S and V in intransitive clauses?	clause order
GB131	Is a pragmatically unmarked constituent order verb-initial for transitive clauses?	clause order
GB132	Is a pragmatically unmarked constituent order verb-medial for transitive clauses?	clause order
GB133	Is a pragmatically unmarked constituent order verb-final for transitive clauses?	clause order
GB135	Do clausal objects usually occur in the same position as nominal objects?	clause order
GB136	Is the order of core argument (i.e. S/A/P) constituents fixed?	clause order
GB421	Is there a preposed complementizer in complements of verbs of thinking and/or knowing?	clause order
GB422	Is there a postposed complementizer in complements of verbs of thinking and/or knowing?	clause order
GB134	Is the order of constituents the same in main and subordinate clauses?	clause order
GB327	Can the relative clause follow the noun?	clause order
GB328	Can the relative clause precede the noun?	clause order
GB329	Are there internally-headed relative clauses?	clause order
GB330	Are there correlative relative clauses?	clause order
GB331	Are there non-adjacent relative clauses?	clause order
GB326	Do (nominal) content interrogatives normally or frequently occur in situ?	clause order
GB270	Can comparatives be expressed using two conjoined clauses?	clause order
GB138	Can standard negation be marked clause-initially?	clause order
GB137	Can standard negation be marked clause-finally?	clause order
GB260	Can polar interrogation be indicated by a special word order?	clause order
GB262	Is there a clause-initial polar interrogative particle?	clause order
GB263	Is there a clause-final polar interrogative particle?	clause order
GB264	Is there a polar interrogative particle that most commonly occurs neither clause-initially nor clause-finally?	clause order
GB297	Can polar interrogation be indicated by a V-not-V construction?	clause order
GB313	Are there special adnominal possessive pronouns that are not formed by an otherwise regular process?	deixis
GB038	Are there demonstrative classifiers?	deixis
GB020	Are there definite or specific articles?	deixis
GB021	Do indefinite nominals commonly have indefinite articles?	deixis
GB022	Are there prenominal articles?	deixis
GB023	Are there postnominal articles?	deixis
GB035	Are there three or more distance contrasts in demonstratives?	deixis
GB036	Do demonstratives show an elevation distinction?	deixis
GB037	Do demonstratives show a visible-nonvisible distinction?	deixis
GB265	Is there a comparative construction that includes a form that elsewhere means 'surpass, exceed'?	non-verbal predication
GB266	Is there a comparative construction that employs a marker of the standard which elsewhere has a locational meaning?	non-verbal predication
GB273	Is there a comparative construction with a standard marker that elsewhere has neither a locational meaning nor a 'surpass/exceed' meaning?	non-verbal predication
GB275	Is there a bound comparative degree marker on the property word in a comparative construction?	non-verbal predication
GB276	Is there a non-bound comparative degree marker modifying the property word in a comparative construction?	non-verbal predication
GB140	Is verbal predication marked by the same negator as all of the following types of predication: locational, existential and nominal?	non-verbal predication
GB296	Is there a phonologically or morphosyntactically definable class of ideophones that includes ideophones depicting imagery beyond sound?	non-verbal predication
GB324	Is there an interrogative verb for content interrogatives (who?, what?, etc.)?	non-verbal predication
GB117	Is there a copula for predicate nominals?	non-verbal predication
GB126	Is there an existential verb?	non-verbal predication
GB127	Are different posture verbs used obligatorily depending on an inanimate locatum's shape or position (e.g. 'to lie' vs. 'to stand')?	non-verbal predication
GB068	Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?	non-verbal predication
GB069	Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?	non-verbal predication
GB250	Can predicative possession be expressed with a transitive 'habeo' verb?	non-verbal predication
GB252	Can predicative possession be expressed with an S-like possessum and a locative-coded possessor?	non-verbal predication
GB253	Can predicative possession be expressed with an S-like possessum and a dative-coded possessor?	non-verbal predication
GB254	Can predicative possession be expressed with an S-like possessum and a possessor that is coded like an adnominal possessor?	non-verbal predication
GB256	Can predicative possession be expressed with an S-like possessor and a possessum that is coded like a comitative argument?	non-verbal predication
GB187	Is there any productive diminutive marking on the noun (exclude marking by system of nominal classification only)?	non-verbal predication
GB188	Is there any productive augmentative marking on the noun (exclude marking by system of nominal classification only)?	non-verbal predication
GB186	Can an article agree with the noun in number?	number
GB185	Can an adnominal demonstrative agree with the noun in number?	number
GB184	Can an adnominal property word agree with the noun in number?	number
GB316	Is singular number regularly marked in the noun phrase by a dedicated phonologically free element?	number
GB317	Is dual number regularly marked in the noun phrase by a dedicated phonologically free element?	number
GB318	Is plural number regularly marked in the noun phrase by a dedicated phonologically free element?	number
GB319	Is trial number regularly marked in the noun phrase by a dedicated phonologically free element?	number
GB320	Is paucal number regularly marked in the noun phrase by a dedicated phonologically free element?	number
GB167	Is there a logophoric pronoun?	number
GB039	Is there nonphonological allomorphy of noun number markers?	number
GB041	Are there several nouns (more than three) which are suppletive for number?	number
GB042	Is there productive overt morphological singular marking on nouns?	number
GB043	Is there productive morphological dual marking on nouns?	number
GB044	Is there productive morphological plural marking on nouns?	number
GB046	Is there an associative plural marker for nouns?	number
GB165	Is there productive morphological trial marking on nouns?	number
GB166	Is there productive morphological paucal marking on nouns?	number
GB159	Are nouns reduplicated?	number
GB301	Is there an inclusory construction?	number
GB028	Is there a distinction between inclusive and exclusive?	number
GB031	Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?	number
GB415	Is there a politeness distinction in 2nd person forms?	number
GB430	Can adnominal possession be marked by a prefix on the possessor?	order in NP
GB431	Can adnominal possession be marked by a prefix on the possessed noun?	order in NP
GB432	Can adnominal possession be marked by a suffix on the possessor?	order in NP
GB433	Can adnominal possession be marked by a suffix on the possessed noun?	order in NP
GB024	What is the order of numeral and noun in the NP?	order in NP
GB065	What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?	order in NP
GB025	What is the order of adnominal demonstrative and noun?	order in NP
GB026	Can adnominal property words occur discontinuously?	order in NP
GB193	What is the order of adnominal property word and noun?	order in NP
GB203	What is the order of the adnominal collective universal quantifier ('all') and the noun?	order in NP
GB057	Are there numeral classifiers?	quantification
GB333	Is there a decimal numeral system?	quantification
GB334	Is there synchronic evidence for any element of a quinary numeral system?	quantification
GB335	Is there synchronic evidence for any element of a vigesimal numeral system?	quantification
GB336	Is there a body-part tallying system?	quantification
GB325	Is there a count/mass distinction in interrogative quantifiers?	quantification
GB204	Do collective ('all') and distributive ('every') universal quantifiers differ in their forms or their syntactic positions?	quantification
GB160	Are elements apart from verbs or nouns reduplicated?	quantification
GB400	Are all person categories neutralized in some voice, tense, aspect, mood and/or negation?	TAME
GB139	Is there a difference between imperative (prohibitive) and declarative negation constructions?	TAME
GB152	Is there a morphologically marked distinction between simultaneous and sequential clauses?	TAME
GB082	Is there overt morphological marking of present tense on verbs?	TAME
GB083	Is there overt morphological marking on the verb dedicated to past tense?	TAME
GB309	Are there multiple past or multiple future tenses, distinguishing distance from Time of Reference?	TAME
GB084	Is there overt morphological marking on the verb dedicated to future tense?	TAME
GB086	Is a morphological distinction between perfective and imperfective aspect available on verbs?	TAME
GB312	Is there overt morphological marking on the verb dedicated to mood?	TAME
GB119	"Can mood be marked by an inflecting word (""auxiliary verb"")?"	TAME
GB120	"Can aspect be marked by an inflecting word (""auxiliary verb"")?"	TAME
GB121	"Can tense be marked by an inflecting word (""auxiliary verb"")?"	TAME
GB146	Is there a morpho-syntactic distinction between predicates expressing controlled versus uncontrolled events or states?	TAME
GB322	Is there grammatical marking of direct evidence (perceived with the senses)?	TAME
GB323	Is there grammatical marking of indirect evidence (hearsay, inference, etc.)?	TAME
GB519	"Can mood be marked by a non-inflecting word (""auxiliary particle"")?"	TAME
GB520	"Can aspect be marked by a non-inflecting word (""auxiliary particle"")?"	TAME
GB521	"Can tense be marked by a non-inflecting word (""auxiliary particle"")?"	TAME
GB110	Is there verb suppletion for tense or aspect?	TAME
GB113	Are there verbal affixes or clitics that turn intransitive verbs into transitive ones?	valency
GB114	Is there a phonologically bound reflexive marker on the verb?	valency
GB115	Is there a phonologically bound reciprocal marker on the verb?	valency
GB147	Is there a morphological passive marked on the lexical verb?	valency
GB148	Is there a morphological antipassive marked on the lexical verb?	valency
GB155	Are causatives formed by affixes or clitics on verbs?	valency
GB124	Is incorporation of nouns into verbs a productive intransitivizing process?	valency
GB156	Is there a causative construction involving an element that is unmistakably grammaticalized from a verb for 'to say'?	valency
GB302	"Is there a phonologically free passive marker (""particle"" or ""auxiliary"")?"	valency
GB303	"Is there a phonologically free antipassive marker (""particle"" or ""auxiliary"")?"	valency
GB304	Can the agent be expressed overtly in a passive clause?	valency
GB305	Is there a phonologically independent reflexive pronoun?	valency
GB306	Is there a phonologically independent non-bipartite reciprocal pronoun?	valency
GB401	Is there a class of patient-labile verbs?	valency
GB129	Is there a notably small number, i.e. about 100 or less, of verb roots in the language?	verb complex
GB122	Is verb compounding a regular process?	verb complex
GB123	Are there verb-adjunct (aka light-verb) constructions?	verb complex
GB118	Are there serial verb constructions?	verb complex
GB150	Is there clause chaining?	verb complex
GB257	Can polar interrogation be marked by intonation only?	VP (other)
GB285	Can polar interrogation be marked by a question particle and verbal morphology?	VP (other)
GB286	Can polar interrogation be indicated by overt verbal morphology only?	VP (other)
GB291	Can polar interrogation be marked by tone?	VP (other)
GB047	Is there a productive morphological pattern for deriving an action/state noun from a verb?	VP (other)
GB048	Is there a productive morphological pattern for deriving an agent noun from a verb?	VP (other)
GB049	Is there a productive morphological pattern for deriving an object noun from a verb?	VP (other)
GB298	"Can standard negation be marked by an inflecting word (""auxiliary verb"")?"	VP (other)
GB299	"Can standard negation be marked by a non-inflecting word (""auxiliary particle"")?"	VP (other)
GB107	Can standard negation be marked by an affix, clitic or modification of the verb?	VP (other)
GB158	Are verbs reduplicated?	VP (other)
GB081	Is there productive infixation in verbs?	VP (other)
GB402	Does the verb for 'see' have suppletive verb forms?	VP (other)
GB403	Does the verb for 'come' have suppletive verb forms?	VP (other)
GB300	Does the verb for 'give' have suppletive verb forms?	VP (other)
GB111	Are there conjugation classes?	VP (other)
